,popularity,runtime,vote_average,vote_count,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Canada,France,Germany,India,Italy,Japan,Russia,Spain,United Kingdom,United States of America,label
38,0.750159168094796,0.08596491228070176,0.6400000000000001,0.13751578129552297,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
39,0.41960099490777414,0.10087719298245615,0.6000000000000001,0.032436632028746235,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7
40,0.1603680294290362,0.08421052631578947,0.54,0.004661551908322813,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
41,0.1779861586813014,0.0824561403508772,0.51,0.00369039526075556,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
42,0.06220274603009924,0.09210526315789473,0.65,0.0021365446246479555,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,0.42741235375075837,0.09912280701754386,0.7000000000000001,0.06176556278527726,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
44,0.438956998564842,0.0780701754385965,0.7000000000000001,0.08662717296299893,0.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
45,0.5697597016821097,0.09298245614035087,0.5700000000000001,0.015538506361076041,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14
46,0.5095629976463129,0.10350877192982456,0.7000000000000001,0.04593570942993105,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26
47,0.1851200283130418,0.09385964912280702,0.47000000000000003,0.004952898902592988,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
48,0.2641839870352904,0.10087719298245615,0.61,0.006603865203457317,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
49,0.5153299045522951,0.11228070175438597,0.6000000000000001,0.017286588326697095,0.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,17
50,0.05327098019014726,0.0912280701754386,0.68,0.0005826939885403516,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34
51,0.036437296295050124,0.0912280701754386,0.5900000000000001,0.0010682723123239778,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
52,0.2384571478170541,0.09035087719298246,0.6000000000000001,0.020394289598912305,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
53,0.6862411623911702,0.08947368421052632,0.73,0.20666213460231136,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14
54,0.3030879437758668,0.11140350877192982,0.5900000000000001,0.01563562202583277,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
55,0.4437791011100623,0.0780701754385965,0.55,0.001456734971350879,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,0.13816427451114696,0.09473684210526316,0.73,0.0028163542779450325,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
57,0.11146605486213462,0.09210526315789473,0.58,0.0005826939885403516,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
58,0.41398562174439996,0.07894736842105263,0.5599999999999999,0.006798096532970768,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,38
59,0.2874252115542924,0.10877192982456141,0.75,0.00903175682237545,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
60,0.39506817338609157,0.10175438596491228,0.61,0.033504904341070216,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,23
61,0.04449576244563626,0.08596491228070176,0.44000000000000006,0.0011653879770807032,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
62,0.3164068671963193,0.08947368421052632,0.49000000000000005,0.007186559191997669,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29
63,0.30348959343777654,0.07894736842105263,0.44000000000000006,0.013596193065941536,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
